algorithm,n,avgRunTime
enumeration,160,119019.0
enumeration,320,666457.8
enumeration,480,2186068.6
enumeration,640,5211059.2
enumeration,800,10125244.6
enumeration,960,17306228.8
enumeration,1120,27792103.9
enumeration,1280,41609054.4
enumeration,1440,59179012.5
enumeration,1600,81843822.6
better-enumeration,3600,762470.1
better-enumeration,7200,3018933.8
better-enumeration,10800,6901081.3
better-enumeration,14400,12357068.3
better-enumeration,18000,19446088.6
better-enumeration,21600,27894842.3
better-enumeration,25200,38125161.2
better-enumeration,28800,49467078.1
