algorithm,n,averageRunTime,allRunTimes
better-enumeration,10,19.9,[19  19  19  19  19  19  19  19  20  27]
better-enumeration,20,41.7,[40  41  41  41  41  41  41  42  42  47]
better-enumeration,30,73.8,[72  72  72  73  73  74  74  74  75  79]
better-enumeration,40,116.6,[113  115  115  115  117  117  118  118  119  119]
better-enumeration,50,171.8,[168  169  170  170  171  172  172  173  176  177]
better-enumeration,60,237.0,[227  233  233  234  237  238  241  242  242  243]
better-enumeration,70,316.3,[311  311  312  313  315  315  318  321  322  325]
better-enumeration,80,409.8,[400  405  407  407  410  410  410  411  419  419]
better-enumeration,90,510.9,[505  506  506  506  510  510  515  515  517  519]
better-enumeration,100,615.8,[605  611  614  614  617  618  618  619  621  621]
linear-time,10,10.9,[9  10  10  10  10  10  10  10  11  19]
linear-time,20,11.7,[11  11  11  11  12  12  12  12  12  13]
linear-time,30,14.1,[13  13  14  14  14  14  14  15  15  15]
linear-time,40,15.4,[15  15  15  15  15  15  16  16  16  16]
linear-time,50,17.4,[17  17  17  17  17  17  17  18  18  19]
linear-time,60,19.7,[19  19  19  20  20  20  20  20  20  20]
linear-time,70,22.4,[21  21  21  21  21  22  22  22  23  30]
linear-time,80,23.6,[22  23  23  23  24  24  24  24  24  25]
linear-time,90,25.6,[25  25  25  25  25  26  26  26  26  27]
linear-time,100,27.0,[26  27  27  27  27  27  27  27  27  28]
test-debug,10,6.2,[5  5  5  5  6  6  6  6  6  12]
test-debug,20,5.2,[5  5  5  5  5  5  5  5  6  6]
test-debug,30,5.5,[5  5  5  5  5  6  6  6  6  6]
test-debug,40,5.3,[5  5  5  5  5  5  5  6  6  6]
test-debug,50,5.5,[5  5  5  5  5  6  6  6  6  6]
test-debug,60,5.5,[5  5  5  5  5  6  6  6  6  6]
test-debug,70,5.8,[5  5  6  6  6  6  6  6  6  6]
test-debug,80,5.8,[5  5  6  6  6  6  6  6  6  6]
test-debug,90,5.6,[5  5  5  5  6  6  6  6  6  6]
test-debug,100,5.8,[5  5  6  6  6  6  6  6  6  6]
